Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,13.989,13.926,13.896,13.896,13.924,13.979,14.06,14.169,14.302,14.448,14.608,14.776,14.947,15.124,15.305,15.49,15.681,15.868,16.051,16.234,16.411,16.575
Africa (UN),17.129,17.218,17.307,17.395,17.48,17.558,17.626,17.687,17.748,17.809,17.867,17.925,17.986,18.05,18.111,18.174,18.241,18.32,18.421,18.532,18.649,18.769
Albania,26.217,26.501,26.974,27.515,28.069,28.636,29.216,29.808,30.407,31.0,31.57,32.024,32.357,32.667,32.969,33.286,33.594,33.912,34.283,34.708,35.127,35.549
Algeria,20.767,21.253,21.744,22.233,22.708,23.166,23.602,24.018,24.412,24.784,25.139,25.476,25.787,26.075,26.341,26.583,26.811,27.024,27.23,27.431,27.608,27.783
American Samoa,20.341,20.517,20.731,20.955,21.169,21.359,21.504,21.581,21.554,21.42,21.493,21.918,22.466,23.036,23.625,24.214,24.787,25.333,25.83,26.251,26.667,27.234
Andorra,35.945,36.68,37.317,37.412,37.085,36.815,36.846,37.171,37.589,38.131,38.547,38.629,38.774,39.124,39.53,39.939,40.366,40.799,41.294,41.731,42.125,42.511
Angola,16.04,16.066,16.099,16.137,16.176,16.209,16.236,16.262,16.281,16.292,16.302,16.314,16.324,16.329,16.317,16.292,16.279,16.279,16.285,16.302,16.321,16.345
Anguilla,27.795,28.1,28.455,28.849,29.238,29.623,30.019,30.426,30.832,31.241,31.63,32.019,32.431,32.865,33.178,33.526,34.031,34.552,34.969,35.495,36.071,36.95
Antigua and Barbuda,27.371,27.647,27.938,28.233,28.544,28.864,29.187,29.496,29.76,29.985,30.249,30.565,30.912,31.29,31.687,32.082,32.498,32.934,33.381,33.83,34.256,34.665
Argentina,26.837,26.979,27.148,27.335,27.536,27.754,27.983,28.214,28.437,28.659,28.874,29.081,29.29,29.492,29.677,29.861,30.051,30.258,30.491,30.763,31.08,31.403
Armenia,28.559,29.005,29.336,29.571,29.779,29.973,30.175,30.386,30.662,30.988,31.292,31.559,31.808,32.081,32.384,32.715,33.067,33.445,33.938,34.525,35.054,35.527
Aruba,32.903,33.272,33.731,34.191,34.639,35.086,35.532,35.959,36.372,36.764,37.111,37.469,37.857,38.22,38.559,38.874,39.174,39.469,39.771,40.088,40.399,40.594
Asia (UN),24.729,25.001,25.262,25.518,25.772,26.024,26.289,26.566,26.845,27.123,27.413,27.709,27.998,28.284,28.582,28.897,29.221,29.548,29.889,30.243,30.604,30.957
Australia,34.369,34.638,34.878,35.092,35.298,35.488,35.646,35.762,35.838,35.914,36.043,36.179,36.234,36.242,36.252,36.254,36.247,36.268,36.352,36.543,36.895,37.259
Austria,37.14,37.553,37.922,38.254,38.586,38.924,39.298,39.685,40.062,40.451,40.84,41.207,41.513,41.759,41.945,41.997,42.007,42.115,42.274,42.433,42.572,42.678
Azerbaijan,24.778,25.174,25.595,26.016,26.371,26.666,26.948,27.227,27.521,27.843,28.171,28.473,28.749,29.016,29.306,29.625,29.873,30.067,30.329,30.699,31.132,31.574
Bahamas,27.585,27.942,28.299,28.644,28.973,29.284,29.568,29.821,30.065,30.3,30.535,30.79,31.06,31.338,31.622,31.922,32.241,32.573,32.911,33.247,33.59,33.909
Bahrain,25.626,25.832,25.787,25.826,26.023,26.345,26.772,27.285,27.873,28.536,28.987,29.204,29.472,29.716,29.873,30.023,30.15,30.348,30.731,31.21,30.953,30.625
Bangladesh,19.675,19.905,20.091,20.287,20.489,20.696,20.911,21.135,21.368,21.614,21.878,22.17,22.485,22.807,23.134,23.457,23.774,24.023,24.201,24.38,24.558,24.733
