Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,49.853546,49.81444,49.77482,49.73536,49.697773,49.662464,49.632507,49.6085,49.58623,49.56271,49.53944,49.518494,49.49977,49.48265,49.468117,49.457203,49.44955,49.454926,49.474453,49.493908,49.511223,49.534378
Albania,51.17801,51.247417,51.181763,51.085167,50.99288,50.90592,50.82527,50.75016,50.678265,50.60831,50.540833,50.510353,50.514706,50.517082,50.516815,50.51462,50.510685,50.506496,50.502533,50.496914,50.50732,50.532104
Algeria,48.468956,48.498337,48.52914,48.560253,48.590076,48.621513,48.653854,48.680847,48.699017,48.71271,48.727943,48.74608,48.766953,48.789173,48.811756,48.83402,48.852398,48.868816,48.888885,48.910904,48.93448,48.95472
American Samoa,48.697563,48.772194,48.835457,48.88362,48.928158,48.972923,49.01373,49.04924,49.095436,49.15898,49.19698,49.200306,49.193417,49.18992,49.19575,49.202866,49.217136,49.249798,49.299732,49.368652,49.41822,49.440327
Andorra,47.892212,48.04106,48.150543,48.109665,47.946827,47.851357,47.749603,47.663597,47.692677,47.82868,48.44561,48.98371,49.029076,49.144203,49.278526,49.420845,49.429905,49.2991,49.172455,49.114067,49.100544,48.942116
Angola,50.879135,50.88612,50.888725,50.8745,50.851055,50.826504,50.800617,50.77388,50.74781,50.72268,50.69876,50.67764,50.6599,50.644245,50.630013,50.61682,50.603596,50.590347,50.577644,50.565426,50.555817,50.546856
Antigua and Barbuda,52.869404,52.925632,52.930637,52.899185,52.863983,52.829384,52.792664,52.75262,52.711308,52.670097,52.636513,52.606216,52.579647,52.561176,52.544357,52.52939,52.515865,52.503124,52.48884,52.47143,52.45577,52.44185
Argentina,50.707245,50.703213,50.701324,50.69839,50.690647,50.679302,50.66437,50.644997,50.624172,50.60236,50.579746,50.559975,50.537117,50.50688,50.47958,50.46186,50.449318,50.431923,50.413517,50.398056,50.390553,50.392887
Armenia,53.25592,53.492973,53.545258,53.569977,53.596066,53.624264,53.65514,53.688038,53.773357,53.917343,54.07212,54.135727,54.10205,54.066013,54.02991,53.996555,53.966125,53.93945,53.88907,53.81891,53.770844,53.74026
Aruba,51.88878,51.940647,51.987873,52.019802,52.051754,52.096996,52.14743,52.196465,52.24375,52.288815,52.2794,52.28857,52.364807,52.438156,52.505974,52.565655,52.620598,52.67379,52.731323,52.796146,52.844505,52.83196
Australia,50.365494,50.373825,50.368553,50.360607,50.35163,50.339462,50.320408,50.288063,50.246803,50.21793,50.215492,50.2253,50.234978,50.256866,50.296207,50.340374,50.373787,50.382248,50.375378,50.374542,50.381226,50.380817
Austria,51.637268,51.580456,51.51775,51.47443,51.437157,51.391556,51.358215,51.346447,51.33719,51.321697,51.307312,51.281025,51.237026,51.186146,51.11672,50.983013,50.868183,50.83303,50.819183,50.810158,50.802807,50.79772
Azerbaijan,52.867092,52.77592,52.68484,52.598324,52.504383,52.39905,52.29222,52.187756,52.08759,52.003105,51.929802,51.85547,51.77776,51.69964,51.6269,51.560764,51.450962,51.305756,51.184563,51.112938,51.08628,51.062504
Bahamas,50.62887,50.683723,50.73278,50.794357,50.8632,50.927902,51.005383,51.100094,51.189125,51.276424,51.37124,51.459263,51.530617,51.59558,51.660225,51.72455,51.790596,51.859097,51.927723,51.986958,52.03492,52.08592
