,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,urban_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population,rural_population
year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,4444374.0,4496828.0,4758983.0,5081518.0,5301147.0,5540569.0,5823897.0,5988544.0,6175747.0,6462224.0,6713794.0,7028189.0,7383304.0,7707402.0,8062698.0,8391292.0,8682093.0,9011456.0,9367638.0,9749465.0,10168092.0,10525708.0,15685953.0,15787479.0,16619134.0,17651531.0,18259507.0,18863998.0,19600197.0,19921308.0,20306875.0,21003877.0,21570295.0,22319519.0,23176730.0,23915302.0,24729825.0,25440472.0,26018519.0,26677479.0,27375401.0,28106656.0,28900887.0,29474704.0
Albania,1289391.0,1298584.0,1327220.0,1354848.0,1381828.0,1407298.0,1430886.0,1452398.0,1473392.0,1495260.0,1519519.0,1546929.0,1575788.0,1603505.0,1630119.0,1654503.0,1680247.0,1706345.0,1728969.0,1747593.0,1762645.0,1770478.0,1799636.0,1761589.0,1723790.0,1684768.0,1645111.0,1604189.0,1561661.0,1517619.0,1473922.0,1432259.0,1393502.0,1358266.0,1324613.0,1291587.0,1258985.0,1226200.0,1195854.0,1167112.0,1137407.0,1106598.0,1075204.0,1041188.0
Algeria,18517304.0,19021811.0,19527081.0,20040386.0,20575723.0,21133634.0,21718431.0,22342100.0,23012967.0,23716845.0,24441535.0,25181388.0,25943855.0,26727044.0,27530165.0,28353036.0,29191517.0,30037974.0,30870982.0,31686845.0,32473555.0,33240040.0,12386589.0,12309410.0,12223754.0,12135432.0,12052563.0,11975615.0,11905075.0,11847316.0,11803994.0,11773600.0,11746701.0,11721988.0,11702311.0,11687127.0,11674866.0,11666493.0,11659204.0,11651325.0,11634053.0,11607701.0,11568536.0,11521059.0
American Samoa,50366.0,50487.0,50439.0,50304.0,50112.0,49880.0,49609.0,49323.0,49016.0,48696.0,48376.0,48034.0,47634.0,47173.0,46669.0,46130.0,45557.0,44968.0,44368.0,43756.0,43368.0,42909.0,6489.0,6566.0,6623.0,6667.0,6706.0,6737.0,6765.0,6790.0,6812.0,6832.0,6852.0,6861.0,6855.0,6833.0,6797.0,6748.0,6688.0,6618.0,6540.0,6453.0,6393.0,6316.0
Andorra,60690.0,60621.0,60947.0,63376.0,67451.0,69900.0,71473.0,73123.0,74314.0,74586.0,71682.0,69014.0,68099.0,66575.0,65214.0,63762.0,63698.0,65022.0,66189.0,67285.0,68029.0,68849.0,4995.0,5231.0,5559.0,6110.0,6874.0,7521.0,8112.0,8754.0,9181.0,9302.0,9024.0,8769.0,8735.0,8619.0,8523.0,8412.0,8483.0,8741.0,8973.0,9189.0,9351.0,9515.0
Angola,8111524.0,8586963.0,9090284.0,9625904.0,10198054.0,10803050.0,11361473.0,11952659.0,12576472.0,13232337.0,13926345.0,14658884.0,15425686.0,16223208.0,17038222.0,17864997.0,18720648.0,19603967.0,20504018.0,21425222.0,22353719.0,23295577.0,8083345.0,8160245.0,8237415.0,8317808.0,8402369.0,8488111.0,8653806.0,8825902.0,9002183.0,9182436.0,9368480.0,9559468.0,9751708.0,9942412.0,10122547.0,10292801.0,10462422.0,10630872.0,10793137.0,10950410.0,11097413.0,11236852.0
Antigua and Barbuda,24067.0,24144.0,23955.0,23727.0,23487.0,23261.0,23058.0,22879.0,22722.0,22574.0,22386.0,22190.0,22274.0,22324.0,22347.0,22352.0,22354.0,22357.0,22367.0,22390.0,22441.0,22515.0,50845.0,51925.0,53077.0,54157.0,55232.0,56350.0,57546.0,58825.0,60190.0,61599.0,62934.0,64142.0,64986.0,65740.0,66418.0,67057.0,67615.0,68111.0,68559.0,68974.0,69405.0,69834.0
Argentina,33173290.0,33609880.0,34040070.0,34461202.0,34879982.0,35307267.0,35739148.0,36161548.0,36595981.0,37051655.0,37510366.0,37970728.0,38418182.0,38856064.0,39314105.0,39782770.0,40224540.0,40634617.0,41024440.0,41371540.0,41626771.0,41791064.0,4040694.0,4014945.0,3989279.0,3963080.0,3935934.0,3909522.0,3882967.0,3855215.0,3828167.0,3803176.0,3778328.0,3759932.0,3743539.0,3726391.0,3709966.0,3694242.0,3675773.0,3654277.0,3630442.0,3601925.0,3565194.0,3521217.0
